rank,name,year,rating,genre,certificate,run_time,decade,runtime_bin
96,M,1931,8.3,"Crime,Mystery,Thriller",Not Rated,99,1930,"(90.0, 120.0]"
97,Lawrence of Arabia,1962,8.3,"Adventure,Biography,Drama",Not Rated,218,1960,"(180.0, inf]"
98,North by Northwest,1959,8.3,"Action,Adventure,Mystery",Not Rated,136,1950,"(120.0, 150.0]"
99,Vertigo,1958,8.3,"Mystery,Romance,Thriller",PG,128,1950,"(120.0, 150.0]"
100,Ikiru,1952,8.3,Drama,Not Rated,143,1950,"(120.0, 150.0]"
101,Amélie,2001,8.3,"Comedy,Romance",R,122,2000,"(120.0, 150.0]"
102,The Apartment,1960,8.3,"Comedy,Drama,Romance",Not Rated,125,1960,"(120.0, 150.0]"
103,A Clockwork Orange,1971,8.3,"Crime,Sci-Fi",NC-17,136,1970,"(120.0, 150.0]"
104,Double Indemnity,1944,8.3,"Crime,Drama,Film-Noir",Not Rated,107,1940,"(90.0, 120.0]"
105,Full Metal Jacket,1987,8.3,"Drama,War",R,116,1980,"(90.0, 120.0]"
106,Top Gun: Maverick,2022,8.3,"Action,Drama",PG-13,130,2020,"(120.0, 150.0]"
107,Scarface,1983,8.3,"Crime,Drama",R,170,1980,"(150.0, 180.0]"
108,Hamilton,2020,8.4,"Biography,Drama,History",PG-13,160,2020,"(150.0, 180.0]"
109,Incendies,2010,8.3,"Drama,Mystery",R,131,2010,"(120.0, 150.0]"
110,To Kill a Mockingbird,1962,8.3,"Crime,Drama",Not Rated,129,1960,"(120.0, 150.0]"
111,Heat,1995,8.3,"Action,Crime,Drama",R,170,1990,"(150.0, 180.0]"
112,The Sting,1973,8.3,"Comedy,Crime,Drama",PG,129,1970,"(120.0, 150.0]"
113,Up,2009,8.3,"Animation,Adventure,Comedy",PG,96,2000,"(90.0, 120.0]"
114,A Separation,2011,8.3,Drama,PG-13,123,2010,"(120.0, 150.0]"
115,Metropolis,1927,8.3,"Drama,Sci-Fi",Not Rated,153,1920,"(150.0, 180.0]"
116,Taxi Driver,1976,8.2,"Crime,Drama",R,114,1970,"(90.0, 120.0]"
117,L.A. Confidential,1997,8.2,"Crime,Drama,Mystery",R,138,1990,"(120.0, 150.0]"
118,Die Hard,1988,8.2,"Action,Thriller",R,132,1980,"(120.0, 150.0]"
119,Snatch,2000,8.2,"Comedy,Crime",R,102,2000,"(90.0, 120.0]"
120,Indiana Jones and the Last Crusade,1989,8.2,"Action,Adventure",PG-13,127,1980,"(120.0, 150.0]"
121,Bicycle Thieves,1948,8.3,Drama,Not Rated,89,1940,"(0.0, 90.0]"
122,Like Stars on Earth,2007,8.3,"Drama,Family",PG,165,2000,"(150.0, 180.0]"
123,1917,2019,8.2,"Action,Drama,War",R,119,2010,"(90.0, 120.0]"
124,Downfall,2004,8.2,"Biography,Drama,History",R,156,2000,"(150.0, 180.0]"
125,Dangal,2016,8.3,"Action,Biography,Drama",Not Rated,161,2010,"(150.0, 180.0]"
126,For a Few Dollars More,1965,8.2,Western,R,132,1960,"(120.0, 150.0]"
127,Batman Begins,2005,8.2,"Action,Crime,Drama",PG-13,140,2000,"(120.0, 150.0]"
128,The Kid,1921,8.3,"Comedy,Drama,Family",Not Rated,68,1920,"(0.0, 90.0]"
129,Some Like It Hot,1959,8.2,"Comedy,Music,Romance",Not Rated,121,1950,"(120.0, 150.0]"
130,The Father,2020,8.2,"Drama,Mystery",PG-13,97,2020,"(90.0, 120.0]"
131,All About Eve,1950,8.2,Drama,Not Rated,138,1950,"(120.0, 150.0]"
132,The Wolf of Wall Street,2013,8.2,"Biography,Comedy,Crime",R,180,2010,"(150.0, 180.0]"
133,Green Book,2018,8.2,"Biography,Comedy,Drama",PG-13,130,2010,"(120.0, 150.0]"
134,Judgment at Nuremberg,1961,8.3,"Drama,War",Not Rated,179,1960,"(150.0, 180.0]"
135,Casino,1995,8.2,"Crime,Drama",R,178,1990,"(150.0, 180.0]"
136,Ran,1985,8.2,"Action,Drama,War",R,162,1980,"(150.0, 180.0]"
137,Pan's Labyrinth,2006,8.2,"Drama,Fantasy,War",R,118,2000,"(90.0, 120.0]"
138,The Truman Show,1998,8.2,"Comedy,Drama",PG,103,1990,"(90.0, 120.0]"
139,There Will Be Blood,2007,8.2,Drama,R,158,2000,"(150.0, 180.0]"
140,Unforgiven,1992,8.2,"Drama,Western",R,130,1990,"(120.0, 150.0]"
141,The Sixth Sense,1999,8.2,"Drama,Mystery,Thriller",PG-13,107,1990,"(90.0, 120.0]"
142,Shutter Island,2010,8.2,"Mystery,Thriller",R,138,2010,"(120.0, 150.0]"
143,A Beautiful Mind,2001,8.2,"Biography,Drama",PG-13,135,2000,"(120.0, 150.0]"
144,Jurassic Park,1993,8.2,"Action,Adventure,Sci-Fi",PG-13,127,1990,"(120.0, 150.0]"
145,Yojimbo,1961,8.2,"Action,Drama,Thriller",Not Rated,110,1960,"(90.0, 120.0]"
146,The Treasure of the Sierra Madre,1948,8.2,"Adventure,Drama,Western",Not Rated,126,1940,"(120.0, 150.0]"
147,Monty Python and the Holy Grail,1975,8.2,"Adventure,Comedy,Fantasy",PG,91,1970,"(90.0, 120.0]"
148,The Great Escape,1963,8.2,"Adventure,Drama,History",Not Rated,172,1960,"(150.0, 180.0]"
149,No Country for Old Men,2007,8.2,"Crime,Drama,Thriller",R,122,2000,"(120.0, 150.0]"
150,Spider-Man: No Way Home,2021,8.2,"Action,Adventure,Fantasy",PG-13,148,2020,"(120.0, 150.0]"
151,Kill Bill: Vol. 1,2003,8.2,"Action,Crime,Drama",R,111,2000,"(90.0, 120.0]"
152,Rashomon,1950,8.2,"Crime,Drama,Mystery",Not Rated,88,1950,"(0.0, 90.0]"
153,The Thing,1982,8.2,"Horror,Mystery,Sci-Fi",R,109,1980,"(90.0, 120.0]"
154,Finding Nemo,2003,8.2,"Animation,Adventure,Comedy",G,100,2000,"(90.0, 120.0]"
155,The Elephant Man,1980,8.2,"Biography,Drama",PG,124,1980,"(120.0, 150.0]"
156,Chinatown,1974,8.2,"Drama,Mystery,Thriller",R,130,1970,"(120.0, 150.0]"
157,Raging Bull,1980,8.2,"Biography,Drama,Sport",R,129,1980,"(120.0, 150.0]"
